company_name,original_website,final_url,redirected,domain_changed,merger_indicators,status,confidence,notes,acquirer_name,announcement_link
IndiGG,https://indigg-dev.netlify.app/,https://indigg-dev.netlify.app/,False,False,,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,
Triangle,https://www.triangleplatform.com/,https://www.triangleplatform.com/,False,False,Lien d'annonce trouvé sur la page,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,https://www.triangleplatform.com/blog/bridge-acquires-triangle
Blowfish,https://blowfish.xyz,https://blowfish.xyz/,False,False,Acquisition détectée: 'acquired by' | Acquéreur: phantom | Lien d'annonce trouvé sur la page,ACQUIRED_AND_RUNNING,0.8,Site accessible avec mots-clés d'acquisition,phantom,https://blog.blowfish.xyz/blowfish-phantom-our-next-chapter-in-crypto-security/
Luno,https://www.luno.com,https://www.luno.com/,False,False,,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,
DeCurret,https://www.decurret.com/,,False,False,,CLOSED,0.8,Site inaccessible,,https://www.prnewswire.com/news-releases/amber-group-acquires-decurret-inc-a-crypto-asset-exchange-service-provider-registered-with-japan-financial-services-agency-301471209.html
Curv,https://www.curv.co,https://www.paypal.com/us/digital-wallet/manage-money/crypto,True,True,Redirection significative: www.curv.co → www.paypal.com/us/digital-wallet/manage-money/crypto | Lien d'annonce trouvé sur la page | Lien acquisition trouvé via Google,CLOSED,0.8999999999999999,Redirection vers domaine différent,,https://www.ledgerinsights.com/paypal-confirms-acquisition-of-digital-asset-custody-firm-curv/
Authenteq - an FNZ company,https://onboarding.fnz.com/solutions/id-verification,https://www.fnz.com/platform/investor-onboarding,True,True,Redirection significative: onboarding.fnz.com/solutions/id-verification → www.fnz.com/platform/investor-onboarding | Lien d'annonce trouvé sur la page,CLOSED,0.7,Redirection vers domaine différent,,https://www.fnz.com/news/personalization-in-a-digital-world
Sparrow,https://www.sparrowexchange.com,https://www.sparrowexchange.com/dashboard,True,False,,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,
Fortress Blockchain Technologies,https://fortress.io/,https://fortress.io/,False,False,,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,
Skolem Technologies,https://skolem.com/,https://www.talos.com/spotlight/skolem,True,True,Redirection significative: skolem.com → www.talos.com/spotlight/skolem | Acquisition détectée: 'now part of' | Acquéreur: talos | Lien d'annonce trouvé sur la page | Lien acquisition trouvé via Google,CLOSED,0.7,Redirection vers domaine différent,talos,https://www.talos.com/spotlight/skolem
